"","State","Real_Openness","Water_Use","Constructed_Openness","Income","Precipitation","Temperature","Population","Area","Latitude","Longitude","Income2","Is.DC","Tot_Employment","Agri_Employment","Housing_units","Median_Income","Real_Openness_next_yr","Water_Use_next_yr","Constructed_Openness_next_yr","Income_next_yr","Precipitation_next_yr","Temperature_next_yr","Population_next_yr","Area_next_yr","Latitude_next_yr","Longitude_next_yr","Income2_next_yr","Is.DC_next_yr","Tot_Employment_next_yr","Agri_Employment_next_yr","Housing_units_next_yr","Median_Income_next_yr","same_yr_Irrigated_area","next_yr_Irrigated_area","next_yr_Irrigated_water","next_yr_Irrigated_water_gw","next_yr_Irrigated_water_sw","next_yr_irrigated_area_gravity","next_yr_irrigated_area_sprinkler","next_yr_irrigated_area_drip","next_yr_Irrigated_area_gw","next_yr_Irrigated_area_sw","next_yr_palmer_z","next_yr_gravity_percent","next_yr_sprinkler_percent","next_yr_drip_percent","next_yr_sprinkler_rel","next_yr_drip_rel"
"1",1,0.846381718154888,4.39756343606259,0.572577232331782,10.1848245374281,4.16168788684327,4.17515628059264,15.3995787636315,25.5997981465192,32.87856631,-86.71153023,103.730650858197,0,14.5410692639953,10.2763261578172,14.6302862597032,10.1288286873938,0.846381718154888,4.39756343606259,0.442004448768912,10.2228499615909,4.16490519586082,4.16602595610281,15.4022673883233,25.5997981465192,32.87856631,-86.71153023,104.506661337199,0,14.5547160794219,10.2320356185402,14.6373635693308,10.1579747201303,11.8635893788121,12.0035769524391,11.4745068300662,10.6578762838668,10.6118781195959,9.39648793360367,11.9821225190216,9.95232533461943,89961.56896,66156.1959,0.56,0.0737489132963548,0.978774075842731,0.128573877481052,13.2717084509381,1.74340029885439
"2",2,NA,-0.589147590541461,NA,10.4406239910919,3.48486059600002,3.35225995530018,13.5141283997743,27.9282177807489,60.0718779,-134.6421729,109.006629323364,0,12.7512475207393,9.63220362589398,12.6665561013918,10.363630221935,1.17241379310345,-0.589147590541461,0.415084992431233,10.4838858796541,3.46423481203901,3.38502462819553,13.5109372958656,27.9282177807489,60.0718779,-134.6421729,109.91186313761,0,12.7535262010179,9.67306759225114,12.670912967819,10.4121708832301,7.78322401633604,7.45066079621154,7.13169851046691,7.04628923377603,4.40606772458163,4.48863636973214,7.06219163228656,5.53338948872752,1417.952724,114.3565331,NA,0.0517141196978501,0.678094131319001,0.147007553747821,13.1123595505618,2.84269662921348
"3",4,0.81288233177402,7.41037202189033,0.442965095358042,10.2894299941554,2.24873336660863,4.14367619072564,15.76374229576,26.4080727421997,33.67825359,-111.4708913,105.872369604625,0,14.9552500745642,10.5842078380879,14.9138511430576,10.281307359824,0.814655172413793,7.41037202189033,0.447802866747126,10.3264650857289,2.45800503097227,4.13139398601771,15.7856457538721,26.4080727421997,33.67825359,-111.4708913,106.635881166778,0,14.9833802164699,10.6031136991938,14.9260191376618,10.3176480790115,13.7221697376978,13.7595431992424,15.2994843354842,13.9506722510515,11.9226680781619,13.6384893295793,11.9542530896938,11.2704716651215,340042.9327,61325,-1.1,0.885986230527618,0.164426747887518,0.082986981397464,0.185586121117931,0.093666220239161
"4",5,0.880615384615384,8.34799910312328,0.651692307692308,10.1391918858952,3.91717342760376,4.13558144666363,14.9155481637186,25.6260263461462,34.91154416,-92.43423888,102.803212099003,0,14.0754727088965,10.4711848823787,14.1304008566832,10.1177114416757,0.880615384615384,8.34799910312328,0.530769369234912,10.1896434609919,4.16340086000867,4.11314158504794,14.9187205941073,25.6260263461462,34.91154416,-92.43423888,103.828833862134,0,14.0910757668248,10.5337215570359,14.1379715221164,10.1487056581686,15.3955491134448,15.2616035528075,15.4391925402438,15.2951968588783,13.4020311784523,15.1742412577248,12.8289287909246,7.93272102748195,3866699.648,586026.1405,0.91,0.916345048182134,0.0878016696609036,0.000656306583482692,0.0958172577405056,0.000716222109547804
"5",6,0.436071396047719,8.84343908824017,0.0939349785993989,10.4644167632684,3.33608942340381,4.10087575116548,17.4927387236666,26.7238660267036,37.83798795,-120.7490147,109.504018195372,0,16.747104283714,12.919897070797,16.4671505358503,10.3461199849857,0.442673568541979,8.84343908824017,0.155131237576782,10.5220189397153,2.89316353780512,4.09712499706149,17.4932543652656,26.7238660267036,37.83798795,-120.7490147,110.712882567727,0,16.7562591570997,12.9812213831955,16.474221133971,10.378323238569,15.873931838833,15.9447277304627,17.014392755697,16.177106502642,14.581477057614,15.1735913840648,13.7663602289433,15.2170235263847,4514986.063,1054263.626,-0.99,0.462487223906144,0.113226221480202,0.483016625750659,0.244820214759447,1.04438912208455
"6",8,0.911504424778761,8.09708193011869,0.536604987932422,10.5008119219187,2.93895362259499,3.86975560806631,15.5395538403966,26.3158150294043,38.92883319,-105.4910899,110.267051019511,0,14.8801957773898,11.0836491057585,14.6849172079395,10.4615306759112,0.916331456154465,8.09708193011869,0.622642431564604,10.5468403148323,2.7047772862883,3.85361343938831,15.5551981842004,26.3158150294043,38.92883319,-105.4910899,111.235840626571,0,14.908371003117,11.1249957099511,14.7009824300577,10.4888546259195,14.8311661474064,14.7151603949943,15.1613234915644,14.2771225683589,12.9375047308382,13.9095135200954,14.1702001323605,8.25868149626424,1150315.522,321489.9798,-2.02,0.446798810123226,0.579864825182959,0.00157031522624171,1.29782088055032,0.00351459133431583
"7",9,1.64181818181818,1.41782936472838,1.04181818181818,10.646115135187,3.78615519139845,3.93031086113494,15.0931567828972,23.2523240134854,41.59547524,-72.64983479,113.339767471657,0,14.4060838920502,8.84908351853234,14.2325715070174,10.4915241861935,1.64545454545455,1.41782936472838,1.08013410885696,10.6925356474733,4.12936618273087,3.92687222463368,15.0888223738638,23.2523240134854,41.59547524,-72.64983479,114.330318572487,0,14.4157477260125,9.0295376611515,14.2349594358219,10.5142037591169,8.90598676523643,8.71669957296429,8.32893404195553,7.23247033358445,NA,5.50533153593236,8.47052078321781,6.98378996525813,3246.742945,2674.185125,1.16,0.0403014416775885,0.781782437745741,0.176769331585845,19.3983739837398,4.38617886178862
"8",10,0.904436860068259,3.71873311579279,0.514220705346985,10.430786738995,3.79736576640035,4.05420935420583,13.776706318074,22.3420066544612,39.11541037,-75.49471267,108.801311994394,0,12.9862595360117,8.50976567558744,12.9781534574273,10.3775454521099,0.904436860068259,3.71873311579279,0.57026796768247,10.4265875371775,4.09403524838951,4.04583553168091,13.7821305943758,22.3420066544612,39.11541037,-75.49471267,108.713727670425,0,13.0355716126618,8.72355674269043,12.9914776248429,10.3850182392451,12.003068674541,12.2125764498688,11.286802479547,11.162758339172,8.10198073185319,NA,12.2374792540887,7.52994337060159,181114.1174,8703,1.43,NA,1.02521546906436,0.00925461364596011,NA,NA
"9",12,0.711608873573121,6.79487864348522,0.361619642472539,10.3035380279428,4.07236936234831,4.28811524717829,16.8592898624898,25.6574375661447,28.93181099,-82.70591607,106.162895893263,0,16.0656166012091,11.4363143625984,16.06063442657,10.1911821249098,0.716774193548387,6.79487864348522,0.302515222523015,10.3532565862008,4.10379960146173,4.28043038983384,16.8741859400367,25.6574375661447,28.93181099,-82.70591607,107.189921939711,0,16.0912320334412,11.4244985411122,16.071817339444,10.2235400050184,14.2338122567105,14.1019961649366,14.1222964842151,13.4480243998887,12.0465540622534,13.1858938906726,12.7352734076264,13.1689033928392,727791.1124,292590.4737,0.43,0.400075390147769,0.254941095815321,0.393335330721711,0.637232636881658,0.983153026674374
"10",13,0.909421230210226,5.59631622497733,0.436542953542694,10.2978243028564,3.90754392249613,4.18714738334945,16.1601372854153,25.7304685799072,32.8067682,-83.57635023,106.045185372501,0,15.3928064044023,10.7756591937707,15.2699900644482,10.2546724537312,0.910199844277187,5.59631622497733,0.38924363102035,10.3477566203012,4.10693696095917,4.17602932590651,16.1687388590856,25.7304685799072,32.8067682,-83.57635023,107.076067072988,0,15.415598091538,10.8821895445317,15.2802153722779,10.3126458324819,14.0682447556732,13.9665461050857,13.6151785829077,13.4724522449168,11.4891150660174,7.66996199547358,13.9093769687628,11.9979162240242,990500.8051,155272.072,0.9,0.00184258811835899,0.94443431770931,0.139648059650674,512.558562762483,75.7890807279515
